id_n,Year,CONS_total,vat,VAT_Rate
101171,2018,36168400,1454275,4.0%
124075,2018,50390000,2024368,4.0%
63178,2018,59821400,2930346,4.9%
52800,2018,61814800,2381278,3.9%
173504,2018,58054800,1604632,2.8%
193960,2018,17792100,348234,2.0%
170956,2018,68311600,2516721,3.7%
234949,2018,25459200,406517,1.6%
61303,2018,116932200,5787726,4.9%
82577,2018,30991200,1096800,3.5%
230783,2018,44820500,1666946,3.7%
119583,2018,27257600,873649,3.2%
23710,2018,5500000,140207,2.5%
55718,2018,85391000,2265209,2.7%
160405,2018,18880120,576569,3.1%
25718,2018,23789800,572464,2.4%
147987,2018,38342880,1321609,3.4%
224339,2018,120492200,3609341,3.0%
81297,2018,31937000,292204,0.9%
256487,2018,35707800,1157002,3.2%
163412,2018,64718000,3770582,5.8%
185846,2018,46732600,2237816,4.8%
42837,2018,37814000,1814582,4.8%
64226,2018,20812640,810396,3.9%
40528,2018,24934000,1264559,5.1%
137806,2018,79798120,1947326,2.4%
200054,2018,26310000,731946,2.8%
119066,2018,21082120,529482,2.5%
97462,2018,73749180,3536206,4.8%
25290,2018,27574800,853638,3.1%
68512,2018,59877200,3037667,5.1%
48042,2018,33151200,1445382,4.4%
178759,2018,46553000,1891703,4.1%
236578,2018,39019520,995238,2.6%
41768,2018,88911000,1648481,1.9%
52281,2018,13397916,402524,3.0%
135290,2018,25995800,556049,2.1%
185850,2018,105356680,3198989,3.0%
206990,2018,36000200,1393687,3.9%
254853,2018,69849300,2627077,3.8%
206084,2018,14257756,474346,3.3%
93116,2018,7660400,183782,2.4%
291922,2018,41941600,2130514,5.1%
247493,2018,28043320,1098957,3.9%
12692,2018,44169000,1434261,3.2%
68342,2018,170337600,4459514,2.6%
253308,2018,30124600,848260,2.8%
280220,2018,26515000,1260144,4.8%
222554,2018,63635000,1872180,2.9%
34090,2018,49446000,1049296,2.1%
46087,2018,43304200,1921029,4.4%
158150,2018,56591640,2524297,4.5%
125154,2018,22582200,546070,2.4%
214972,2018,63928720,3755423,5.9%
281528,2018,43646200,2013053,4.6%
172125,2018,42906800,787178,1.8%
