id_n,Year,CONS_Nonfood,vat,vat1,vat2,vat_diff
240783,2018,12683000,841054,841054,1256874,415820
270227,2018,12971000,520369,520369,1285414,765045
22764,2018,28650000,2449730,2449730,2809459,359730
138600,2018,23639000,1408000,1408000,2342604,934604
97176,2018,4532000,188982,188982,449117,260135
289359,2018,15620000,1007838,1007838,1523153,515315
191163,2018,13432000,823018,823018,1321189,498171
206113,2018,3245000,121000,121000,317315,196315
119065,2018,5627800,344270,344270,557710,213440
128522,2018,14789000,1106045,1106045,1465577,359532
96533,2018,2806000,66892,66892,278072,211180
232545,2018,21588000,933613,933613,2139351,1205739
153733,2018,5320000,342982,342982,525126,182144
245402,2018,28166200,2046595,2046595,2791245,744650
76639,2018,154367000,5644883,5644883,15297631,9652748
229602,2018,67348000,3704523,3704523,6674126,2969604
121996,2018,42271000,2015279,2015279,4171180,2155901
294437,2018,8505600,281996,281996,837447,555450
20211,2018,11761240,558919,558919,1138177,579258
212281,2018,18640000,1502045,1502045,1838486,336441
44577,2018,16413000,1427919,1427919,1603324,175405
177888,2018,24972000,2382342,2382342,2454883,72541
261282,2018,9239000,579333,579333,915577,336243
101740,2018,14677000,1311378,1311378,1454477,143099
228996,2018,14574000,547820,547820,1444270,896450
137358,2018,18867164,476865,476865,1869719,1392854
234479,2018,4555000,215243,215243,451396,236153
98012,2018,16753000,644640,644640,1660207,1015568
275611,2018,24718000,1568739,1568739,2449532,880793
130572,2018,7342000,454171,454171,727586,273414
185186,2018,4652000,231892,231892,461009,229117
70564,2018,14061000,690225,690225,1393432,703207
90970,2018,15370000,1011405,1011405,1516712,505306
1934,2018,2982000,139333,139333,295514,156180
66863,2018,5831000,246856,246856,577847,330991
124731,2018,9043000,662378,662378,896153,233775
248215,2018,6077000,253000,253000,599252,346252
182496,2018,126234000,5402090,5402090,12509676,7107586
20585,2018,10324000,573982,573982,1023099,449117
294657,2018,12362000,407396,407396,1211387,803991
84811,2018,13652000,730955,730955,1352901,621946
178809,2018,104059992,4368288,4368288,10312251,5943963
85313,2018,23466000,2199505,2199505,2325459,125955
264531,2018,6713000,400955,400955,663568,262613
103312,2018,16242800,429178,429178,1609647,1180468
290081,2018,1286000,18631,18631,127441,108811
31552,2018,7849700,410171,410171,777898,367727
278965,2018,16122000,867315,867315,1593117,725802
36594,2018,10295400,721481,721481,1020265,298784
146490,2018,5051600,404086,404086,500609,96523
207692,2018,16985000,1241811,1241811,1683198,441387
225458,2018,4701800,185989,185989,465944,279955
273683,2018,20235700,1289775,1289775,2005340,715565
20099,2018,14973000,1038955,1038955,1483811,444856
84289,2018,20281812,1271144,1271144,2009909,738765
278569,2018,16218000,1126360,1126360,1607189,480829
10913,2018,14530000,626505,626505,1439910,813405
57140,2018,18524000,1071856,1071856,1835712,763856
123942,2018,40435000,2595802,2595802,4007072,1411270
250388,2018,66385000,3570144,3570144,6578694,3008550
93039,2018,11615000,595982,595982,1146180,550198
278199,2018,11437000,688243,688243,1133396,445153
91152,2018,8404000,244477,244477,832829,588351
273140,2018,17209420,943340,943340,1705438,762098
270004,2018,8924000,358144,358144,884360,526216
189962,2018,15749000,921126,921126,1560712,639586
183459,2018,90288000,4698090,4698090,8900387,4202297
1846,2018,40060000,2016369,2016369,3969910,1953541
226172,2018,19694000,1092270,1092270,1951658,859387
241337,2018,16663000,917757,917757,1651288,733532
4547,2018,2355000,93450,93450,233378,139928
18515,2018,14357000,631757,631757,1414838,783081
176641,2018,54488000,3223297,3223297,5399712,2176414
99784,2018,22686000,1551000,1551000,2238252,687252
215635,2018,11087000,637207,637207,1098712,461505
101930,2018,22988000,768811,768811,2278090,1509279
198419,2018,21596000,798342,798342,2140144,1341802
60691,2018,18533000,1383919,1383919,1836604,452685
131536,2018,12857000,664162,664162,1255685,591523
97331,2018,61188700,5413685,5413685,6063745,650060
221195,2018,9897800,504989,504989,978088,473099
187869,2018,4347000,287685,287685,430784,143099
169176,2018,3805000,332775,332775,377072,44297
97758,2018,9225000,290856,290856,913099,622243
217596,2018,16739000,1129135,1129135,1658820,529685
139381,2018,11448400,491769,491769,1134526,642757
263543,2018,6609000,218811,218811,654946,436135
221084,2018,43358000,2403054,2403054,4296739,1893685
