id_n,Year,CONS_total,vat,vat1,vat2,vat_diff
294412,2018,29746000,822735,492950,492950,0
244204,2018,29746200,1257737,1804000,1804000,0
149560,2018,29747751,1629268,774915,774915,0
243133,2018,29755900,1067519,1677050,1677050,0
151424,2018,29757600,1282141,4857755,4857755,0
264257,2018,29764720,1384466,2696935,2696935,0
170287,2018,29768920,1326552,2364844,2364844,0
86774,2018,29774400,1677135,1611114,1611114,0
136355,2018,29774400,707225,3883351,3883351,0
204587,2018,29774800,1047344,462387,462387,0
159993,2018,29775600,629933,3718607,3718607,0
281170,2018,29780000,1663870,3162261,3162261,0
195336,2018,29781000,438117,1826591,1826591,0
288941,2018,29782000,1052406,3040414,3040414,0
261282,2018,29782640,1247863,3146685,3146685,0
87115,2018,29783400,1303847,1899413,1899413,0
51011,2018,29783600,909195,3019609,3019609,0
5072,2018,29786800,1033773,1144099,1144099,0
60262,2018,29789116,1090173,770099,770099,0
255817,2018,29793200,1260164,601578,601578,0
290110,2018,29797000,648879,1344180,1344180,0
17905,2018,29797200,1229478,1293378,1293378,0
68979,2018,29799728,1049205,739344,739344,0
125442,2018,29800000,1217376,1926013,1926013,0
116258,2018,29800800,1331676,744439,744439,0
63670,2018,29801800,1449160,3914585,3914585,0
121552,2018,29803200,1199348,1362533,1362533,0
262115,2018,29803880,870685,660034,660034,0
286259,2018,29804000,559753,758563,758563,0
120651,2018,29806200,1596339,1005261,1005261,0
211630,2018,29806600,1672892,1068883,1068883,0
193756,2018,29809316,657479,1563764,1563764,0
34344,2018,29817000,1080969,1236411,1236411,0
170687,2018,29819472,940161,1733996,1733996,0
275008,2018,29822000,1754757,2634550,2634550,0
221232,2018,29826400,1060876,620559,620559,0
24004,2018,29830000,1397770,2128223,2128223,0
188389,2018,29832776,720377,366885,366885,0
145122,2018,29833400,1063604,2070270,2070270,0
236322,2018,29834000,996339,1004652,1004652,0
1755,2018,29835000,1236539,668723,668723,0
161512,2018,29838400,1479701,284248,284248,0
56736,2018,29846400,1030571,2868988,2868988,0
19932,2018,29847990,745075,2203107,2203107,0
226223,2018,29854000,1048885,1289664,1289664,0
238354,2018,29854200,1693861,2115040,2115040,0
274612,2018,29857764,1022234,2517312,2517312,0
220510,2018,29860400,1079268,3505892,3505892,0
287057,2018,29861300,1010464,1219776,1219776,0
8510,2018,29864000,1295364,1355679,1355679,0
87279,2018,29864600,820362,1298687,1298687,0
159751,2018,29865600,859697,2359550,2359550,0
198130,2018,29866200,596279,2706206,2706206,0
270229,2018,29870280,1178100,1442011,1442011,0
120603,2018,29870520,1785509,1297876,1297876,0
222317,2018,29876200,1632768,540840,540840,0
277261,2018,29877600,1039162,2999205,2999205,0
164434,2018,29883400,671506,1557392,1557392,0
285532,2018,29884200,371323,886369,886369,0
197578,2018,29884880,1135208,1537789,1537789,0
224025,2018,29885000,687847,1689948,1689948,0
238704,2018,29887200,1067890,1534542,1534542,0
168226,2018,29896360,1157103,2323710,2323710,0
247088,2018,29908600,848463,1918341,1918341,0
252554,2018,29910000,1262126,790234,790234,0
124408,2018,29914600,1095766,2771306,2771306,0
65363,2018,29915200,1028762,6494595,6494595,0
71025,2018,29916000,1142456,1111121,1111121,0
284406,2018,29919600,683271,920849,920849,0
286705,2018,29921000,673564,1238366,1238366,0
54643,2018,29921600,1522083,663420,663420,0
195016,2018,29921800,755977,138645,138645,0
68040,2018,29924040,1352964,1944478,1944478,0
257126,2018,29924400,1032036,612950,612950,0
174144,2018,29927828,1187836,2044458,2044458,0
88348,2018,29931800,424256,3534757,3534757,0
221840,2018,29932480,1002644,2069595,2069595,0
27755,2018,29935600,832175,857142,857142,0
157741,2018,29936000,1077473,873768,873768,0
846,2018,29936120,1011418,5243234,5243234,0
56232,2018,29936236,1129063,1065176,1065176,0
281323,2018,29940000,2090198,4143029,4143029,0
243080,2018,29940920,1290858,1319687,1319687,0
49964,2018,29943000,1317829,2923420,2923420,0
97709,2018,29943560,1162432,796908,796908,0
40946,2018,29947600,562784,1389692,1389692,0
261236,2018,29951560,693991,431644,431644,0
19674,2018,29952000,1500521,1791969,1791969,0
70110,2018,29954000,1239119,1963467,1963467,0
129333,2018,29954400,983088,2192606,2192606,0
56138,2018,29957100,1573314,376577,376577,0
285154,2018,29958500,203946,337333,337333,0
61970,2018,29959000,794135,223250,223250,0
69063,2018,29963800,1264876,659356,659356,0
212526,2018,29969200,914685,233533,233533,0
239604,2018,29970000,1078087,2936508,2936508,0
234386,2018,29971528,1115074,6222107,6222107,0
102259,2018,29974100,858826,774391,774391,0
278199,2018,29975000,819955,976927,976927,0
197591,2018,29981800,585544,4639502,4639502,0
29282,2018,29982940,1345837,738150,738150,0
65171,2018,29983000,927072,1406562,1406562,0
113056,2018,29984740,1376690,798085,798085,0
111573,2018,29984800,961090,724766,724766,0
44917,2018,29987000,921265,1665288,1665288,0
