id_n,Year,CONS_total,vat,vat1,vat2,vat_diff
123526,2018,42330502,1728631,1728631,1868987,140355
247130,2018,24833920,857140,857140,926713,69573
23568,2018,19506000,701423,701423,758357,56934
95280,2018,58623156,2622425,2622425,2835285,212859
70244,2018,43078200,2462077,2462077,2661921,199844
65529,2018,30911000,1266144,1266144,1368940,102796
254030,2018,15236000,207117,207117,223929,16811
78403,2018,89595944,4595726,4595726,4968834,373108
230424,2018,214946000,3735004,3735004,4038321,303317
151884,2018,19315360,686945,686945,742721,55776
229653,2018,100550600,3848249,3848249,4160702,312453
238168,2018,107609600,6364739,6364739,6881357,516618
75513,2018,32594800,1718380,1718380,1857923,139543
241985,2018,31961100,1928339,1928339,2084909,156570
293727,2018,59288300,1889816,1889816,2044213,154398
68279,2018,40680600,2125946,2125946,2298521,172575
37440,2018,450290000,18427676,18427676,19923429,1495753
180657,2018,608736240,14416332,14416332,15586591,1170260
70196,2018,23740000,757632,757632,819129,61496
103809,2018,28307700,830787,830787,898224,67437
24742,2018,32577800,1161025,1161025,1255264,94239
207417,2018,37078000,1600652,1600652,1730649,129997
18452,2018,31733200,1440520,1440520,1557463,116943
202228,2018,32747600,1326198,1326198,1433869,107670
225434,2018,60624000,2097160,2097160,2267414,170253
169834,2018,33407000,1045860,1045860,1130790,84930
136953,2018,38991308,1897379,1897379,2051436,154057
163028,2018,25782000,906085,906085,979634,73549
11276,2018,15905200,679344,679344,734486,55142
260409,2018,19618500,882679,882679,954345,71666
80783,2018,30869350,1289418,1289418,1394079,104661
234578,2018,107021000,3962487,3962487,4284166,321679
156010,2018,44469504,1988508,1988508,2149942,161434
41010,2018,33150000,1112486,1112486,1202786,90299
221301,2018,21496400,679978,679978,735171,55193
61821,2018,30888400,920355,920355,995123,74768
237284,2018,16886200,461872,461872,499367,37495
266668,2018,15573200,451897,451897,488580,36682
138643,2018,41742000,1541822,1541822,1667065,125242
200302,2018,26186400,1738793,1738793,1879929,141136
82276,2018,43166400,2102200,2102200,2272838,170638
199755,2018,44229400,2976065,2976065,3217683,241618
69686,2018,45368800,1996820,1996820,2158914,162094
193007,2018,20164100,413832,413832,447477,33645
112369,2018,14344600,597350,597350,645836,48486
292161,2018,51979800,1140245,1140245,1233385,93140
280090,2018,78523260,3178078,3178078,3436039,257961
24004,2018,29830000,1481013,1481013,1601313,120300
137572,2018,46775000,3497728,3497728,3781664,283936
